"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"2536","sp4188","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","ursingii",1.11352394687715,-0.201076887416596,0.217997798987239,-0.922380355906101,0.356330212662047,0.474823608761973,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2537","sp4189","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Telmatocola",NA,1.11360067004558,0.201472914427884,0.231998592740876,0.868423002258955,0.385162807018428,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2538","sp4190","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2539","sp4192","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2540","sp4194","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria",NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2541","sp4195","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA,1.11344528122905,0.201462520479239,0.228463202329096,0.881816058014616,0.377876286429388,0.490641742678317,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2542","sp4197","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA,1.11352394687715,0.201464713045577,0.231998777525797,0.868386959595832,0.385182531259004,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2543","sp4198","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2544","sp4212","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,1.11352394687715,-0.390104338736078,0.218294358730899,-1.7870564361078,0.0739283675386836,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2545","sp4213","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter",NA,1.11352394687715,-0.390104338736078,0.218294358730898,-1.78705643610781,0.0739283675386822,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2546","sp4214","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,1.11360067004558,0.201472914427884,0.231998592740876,0.868423002258955,0.385162807018428,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2547","sp4215","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasegetibacter",NA,1.11352394687715,0.201464713045577,0.231998777525797,0.868386959595831,0.385182531259005,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2548","sp4216","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA,1.11352394687715,0.131495630359538,0.226221643937047,0.581269007116448,0.561059165385729,0.629079987524023,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2549","sp4219","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA,1.11360067004558,-0.390116687940672,0.214414864707651,-1.81944795885578,0.0688431155739329,0.161850860099322,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2550","sp4220","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA,1.11352394687715,-0.390104338736079,0.218294358730897,-1.78705643610782,0.0739283675386806,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2551","sp4221","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA,1.11352394687715,-0.390104338736079,0.218294358730897,-1.78705643610782,0.0739283675386806,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2552","sp4222","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,1.11360067004558,0.201472914427884,0.231998592740876,0.868423002258954,0.385162807018428,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
