"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp3426",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"sp3427",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"sp3428",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"sp3429",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"sp3430",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"sp3433",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"sp3435",0,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"sp3439",0.012353933161111,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"sp3448",0.0245567710239618,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"sp3449",0.0121969415951541,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"sp3451",0.0176341462075673,0.439170942624184,2.9161802374936,0.150598010705142,0.880292830722187,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella"
"sp3452",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"sp3455",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Eoetvoesia"
"sp3461",0.0241704628228484,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"sp3462",0.0124616308527075,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"sp3464",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"sp3465",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"sp3466",0.0122344073193635,0.383695091675062,2.91618651962317,0.131574262857728,0.895321043775894,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"sp3469",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
