"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","threshold","Comparison","Enriched_Genus","Where_Enriched","Genera"
"504",0.121838604608537,-0.490759591244588,2.91413240955145,-0.168406757920834,0.866263291982284,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"505",0.135029690777834,-1.0457945627672,2.82124233472805,-0.370685832228591,0.710871543981825,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"506",0.126722430538747,-0.924518798922399,2.83011109305613,-0.326672264276398,0.743915780215567,NA,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"507",0.213643832270672,-0.679183887442307,2.91392403526442,-0.23308222150708,0.81569755992501,NA,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Arenibacter","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"508",0.151867791526271,-1.04585272077162,2.91398073230559,-0.3589085916653,0.719663472066295,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"509",0.200203879015431,-0.150694696098325,2.26504335734364,-0.066530601107369,0.946955395512437,NA,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Persicitalea","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"510",0.0507775714632079,-0.634786021213515,2.91422032938726,-0.217823619858895,0.827566540426554,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"511",0.155750399384069,0.905726653824547,2.9131865586743,0.310905819308982,0.755872220406744,NA,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"512",0.163961265022714,0.459153458841408,2.6043266782498,0.176304095287299,0.860055044856057,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"513",0.0126328947019033,-0.404210001510991,2.91434430436395,-0.138696721902668,0.889689808605866,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
