"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp1771",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"sp1775",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"sp1777",0.0113787178285875,0.130253278512328,2.9120644539051,0.0447288446303642,0.964323442010501,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis",NA
"sp1778",0.0113787178285875,0.130253278512328,2.9120644539051,0.0447288446303642,0.964323442010501,NA,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"sp1779",0.0340821696897119,-0.0981443990365406,2.91197960497591,-0.0337036697883578,0.973113452568751,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Azohydromonas"
"sp1780",0.0120589041430497,0.130253278512328,2.9120644539051,0.0447288446303642,0.964323442010501,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"sp1781",0.0457487768578983,-0.155790432742903,2.9119513937904,-0.0535003548050695,0.957333247962291,0.998452937578405,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"sp1786",0.0113940246247505,0.0171403354882389,2.91203942610042,0.00588602452789998,0.995303659022376,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA
"sp1787",0.0798882571273353,0.239991304772181,2.80782478126261,0.0854723223378142,0.93188589850719,0.998452937578405,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"sp1789",0.1121384876927,0.355270311474081,2.91195607450183,0.122004007747562,0.902895844260947,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA
"sp1790",0.0639260134047407,0.0149736514326281,2.91200226496098,0.00514204662983969,0.995897258462985,0.998452937578405,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sp1791",0.0228243821636977,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,0.998452937578405,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",NA
"sp1793",0,NA,NA,NA,NA,NA,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"sp1794",0.0382186279080296,0.298652878232046,2.91202788113517,0.102558385572746,0.918313472116831,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"sp1795",0,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"sp1796",0,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA
"sp1797",0.0827234322008021,-0.15796436050356,2.91191758973284,-0.0542475381379364,0.956737946460054,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA
"sp1799",0.0330926530583007,0.242108825515382,2.91204342347397,0.0831405272200766,0.933739801316347,0.998452937578405,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA
"sp1800",0.0342365732455466,0.242108825515382,2.91204342347397,0.0831405272200765,0.933739801316347,0.998452937578405,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"sp1801",0.0224661293146763,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"sp1802",0.0101252890252695,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella"
"sp1803",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Agaricicola"
"sp1804",0,NA,NA,NA,NA,NA,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"sp1808",0.032137521520798,-0.0405007788277835,2.91200893474882,-0.0139081918137305,0.988903226240209,0.998452937578405,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"sp1809",0.0447324618327143,0.242108825515382,2.91204342347397,0.0831405272200765,0.933739801316347,0.998452937578405,"Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus"
"sp1810",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter"
"sp1811",0.0115553191146071,0.130253278512328,2.9120644539051,0.0447288446303642,0.964323442010501,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"sp1812",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"sp1813",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"sp1814",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"sp1815",0.0219193142334372,0.0171403354882388,2.91203942610042,0.00588602452789996,0.995303659022376,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"sp1816",0.0220617687055338,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,NA,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"sp1817",0.0401747698757325,0.18572820009639,2.91205802985357,0.0637790175169446,0.94914618583288,0.998452937578405,"Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus"
"sp1818",0.0582661430870102,0.184470317580846,2.91201172568474,0.0633480682628325,0.94948933965957,0.998452937578405,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas"
"sp1819",0.0367700970507612,0.242108825515382,2.91204342347397,0.0831405272200766,0.933739801316347,0.998452937578405,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"sp1820",0.0185894464101761,0.0726147657575188,2.91203275637612,0.0249361088396149,0.980105925492568,NA,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
